model,variant,fold,iterations,seeds,seconds,roc_auc,pr_auc,f1_m1.6,f1_m1.8,f1_m2,f1_oracle
lgb,fpte_reason,3,178,"42,2026",5.5,0.7916985782482739,0.3757747488350859,0.4123633622314361,0.4159943879340582,0.4204657264676943,0.4236605760297305
lgb,fpte_reason,2,149,"42,2026",5.9,0.7836233972955802,0.4157056985649962,0.411504424778761,0.4233676975945017,0.4234234234234234,0.42534504391468
lgb,fpte_reason,1,271,"42,2026",9.4,0.7934285968159642,0.4501164508064382,0.4243556219648861,0.4229565217391304,0.4223885453953791,0.428416877028489
lgb,fpte_hist,4,137,"42,2026",4.6,0.8069239713774597,0.3997497601212598,0.4118577075098814,0.407624633431085,0.4101161995898838,0.4137033824804857
lgb,fpte_hist,3,152,"42,2026",5.7,0.7947355388643089,0.3861807390827447,0.4123633622314361,0.4173974044195019,0.4217776320104952,0.4260018933417482
lgb,fpte_hist,2,176,"42,2026",6.6,0.7857056361538237,0.414129033425465,0.4188790560471976,0.4281786941580756,0.4298584298584298,0.4308005427408412
lgb,fpte_hist,1,287,"42,2026",9.6,0.7909536654776493,0.4471819271681175,0.4176316772506537,0.4229565217391304,0.4210868857793687,0.4261847937265598
lgb,base,4,147,"42,2026,777",4.2,0.805527565457798,0.3959134759817405,0.4181818181818181,0.4120234604105572,0.4101161995898838,0.4239401496259352
lgb,base,3,143,"42,2026,777",5.5,0.7848657469187751,0.3625396996798479,0.4003015454202789,0.4054717642932304,0.4073466710396851,0.4112034472145275
lgb,base,2,205,"42,2026,777",7.5,0.7781579675541456,0.4087435771511694,0.4085545722713864,0.415807560137457,0.4163449163449163,0.4182156133828996
lgb,base,1,290,"42,2026,777",10.5,0.7942329801036286,0.4535353024844325,0.4363093014568547,0.4313043478260869,0.4230393752033843,0.4376143432125869
lgb,fpte,4,135,"42,2026,777",4.5,0.8064995121157911,0.3986784437693703,0.4118577075098814,0.4098240469208211,0.4080656185919343,0.4137664346481052
lgb,fpte,3,187,"42,2026,777",6.1,0.7932431696991044,0.3826961573121355,0.41688654353562,0.4202034373903893,0.4198097736962938,0.4236605760297305
lgb,fpte,2,190,"42,2026,777",7.6,0.786750158277936,0.4192999053529894,0.4181415929203539,0.4274914089347079,0.4253539253539253,0.4322853688029021
lgb,fpte,1,201,"42,2026,777",10.2,0.792693843699204,0.4497790053850691,0.4243556219648861,0.4257391304347826,0.4230393752033843,0.4287237824386776
